10,0,-1,0,-1,2.3879,2.85098,324.899,0.560423,2.3879,2.85098,324.899,0.560423,2991.09,0.060808
10,0,-1,0,0,-0.0100951,4.51791,330.483,1.18268,-0.288563,3.9728,324.782,1.29454,324.71,1.29609
10,0,-1,0,1,-1.12239,3.90908,330.16,1.55757,-0.67241,2.81159,64.4993,6.43085,324.694,1.22444
10,0,-1,0,2,0.129113,4.27756,330.747,1.45625,0.194921,3.03969,66.1924,4.40646,324.913,0.880683
10,0,-1,0,3,-1.45094,0.396968,330.495,0.920277,-0.891844,0.71525,64.6901,1.15866,324.504,0.153541
10,0,-1,0,4,3.27586,3.45058,330.722,0.242505,3.06701,3.27836,66.0921,3.4589,325.175,0.647139
10,0,-1,0,5,2.23444,2.39169,330.922,1.85232,-1.44964,0.887672,33.8853,8.49855,324.807,0.669057
10,0,-1,0,35,2.21429,3.17956,330.727,1.39018,-1.16543,1.36602,34.204,6.61067,324.86,0.650464
10,0,-1,0,36,-0.86736,0.194766,330.178,0.0561951,-0.28032,0.160896,64.2952,0.129853,324.427,0.00536884
10,0,-1,0,37,-0.511532,0.62398,330.158,0.023294,0.480347,1.00747,64.23,1.12204,324.489,0.0129259
10,0,-1,0,38,1.32561,2.22659,330.217,0.245969,0.777338,1.99638,65.0751,2.09436,324.692,0.550889
10,0,-1,0,39,-1.11459,0.467799,330.506,0.141982,-0.0844672,0.899018,65.6722,4.08684,324.72,0.255653
10,0,-1,1,-1,-0.943613,0.361242,330.252,0.0547001,-1.24131,0.28714,324.531,0.107374,324.506,0.321376
10,0,-1,1,0,50.2171,244.299,268.681,963.613,82.1983,399.282,602.449,1332.11,514.805,912.293
10,0,-1,1,1,3.19141,4.32199,335.61,4.19118,0.849118,3.60983,66.8779,12.5968,365.328,4.88514
10,0,-1,1,2,1.15102,2.94059,71.3951,1.94948,2.58732,3.04959,62.6104,4.20354,364.01,5.44027
10,0,-1,1,3,0.978168,3.75825,74.2238,1.51787,1.15533,4.20197,65.2589,2.97699,362.828,5.72199
10,0,-1,1,4,3.16021,1.25512,70.327,7.83104,0.408624,0.692935,64.8766,5.51864,363.534,6.91871
10,0,-1,1,5,2.46086,3.66595,79.0725,3.15997,1.49386,2.91481,32.0288,8.66745,408.909,3.58643
10,0,-1,1,35,52.7381,243.79,279.372,961.387,84.6495,398.78,321.5,1390.71,595.179,895.538
10,0,-1,1,36,0.8429,2.58771,73.0076,6.52732,0.767449,3.03968,63.1094,3.54739,363.44,1.43047
10,0,-1,1,37,-0.215896,0.725494,73.2509,1.59361,-0.0250741,1.30577,63.3246,3.73578,363.135,2.71858
10,0,-1,1,38,2.21337,3.10125,60.8465,7.75778,1.79774,2.62133,65.9628,2.6952,363.29,3.42843
10,0,-1,1,39,2.95626,2.03715,58.6391,2.48432,2.168,2.69159,66.3232,2.61203,363.558,1.72902
10,0,-1,2,-1,50.5214,244.235,268.615,963.626,82.4482,399.23,602.477,1332.1,514.837,912.286
10,0,-1,2,0,1.75274,6.2647,66.9201,7.80299,2.25588,8.12161,325.343,2.58219,325.285,2.48646
10,0,-1,2,1,4.44642,1.79562,42.6641,9.7349,3.53219,1.90251,66.2276,1.70304,68.2002,3.72705
10,0,-1,2,2,-0.829008,3.63434,78.1338,14.5888,-1.16674,2.55057,66.1697,11.9828,66.7487,10.9879
10,0,-1,2,3,-1.46865,0.147377,77.2809,2.76825,-1.11493,0.234026,63.7858,0.975778,65.3146,2.69888
10,0,-1,2,4,2.39294,2.79824,78.71,3.99412,0.538437,1.67966,67.1638,5.33113,67.8552,6.25564
10,0,-1,2,5,1.29842,2.85305,87.0745,5.47167,1.27112,2.02052,34.1107,2.5766,35.0249,3.61361
10,0,-1,2,35,1.17716,2.60095,85.8817,5.48363,0.589615,1.98844,34.396,2.02035,34.082,3.32422
10,0,-1,2,36,8.5069,13.1469,84.4108,33.3533,4.76555,15.996,75.2763,44.5627,74.125,39.8673
10,0,-1,2,37,0.0718651,5.32417,80.9724,12.7707,-0.00241234,6.06916,71.1058,18.968,69.5596,22.762
10,0,-1,2,38,2.94013,5.00273,78.599,3.01748,2.73508,2.63326,67.8386,3.56624,66.4599,1.16155
10,0,-1,2,39,1.58232,4.91853,351.291,3.40994,1.62352,2.77179,64.5827,4.38395,65.3785,1.80233
10,0,-1,3,-1,2.84015,6.85719,66.0298,2.54502,2.94899,6.81596,325.438,1.88112,325.248,1.44831
10,0,-1,3,0,0.952988,2.77318,66.2056,3.15865,0.24702,5.07716,325.026,1.70556,325.137,1.71061
10,0,-1,3,1,-0.313065,2.25157,48.1397,1.86538,0.707318,0.97687,64.5328,1.41007,64.5598,1.71711
10,0,-1,3,2,-1.23905,0.639678,34.6288,7.30564,-0.533913,2.45063,64.6746,5.60427,68.2284,8.50094
10,0,-1,3,3,-0.511133,1.02104,30.8195,2.44703,-1.78109,0.218616,65.0252,1.59158,64.3153,2.69891
10,0,-1,3,4,1.51992,5.52707,33.3297,8.39737,0.698194,3.97254,65.5408,3.52493,66.4425,5.45715
10,0,-1,3,5,1.31337,1.70149,30.8259,2.54322,1.11534,1.89875,33.3222,1.66753,33.9895,1.45739
